product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
205508265,(Bìa cứng) HIMALAYA NHỮNG CUỘC PHIÊU LƯU - THIỀN - CUỘC SỐNG –Ruskin Bond & Namita Gokhale tuyển chọn – Hà Thị Thanh Huyền dịch – NXB Giáo Dục Việt Nam ,,499000,499000,32,Du ký,1,5,,Nhà Xuất Bản Giáo Dục Việt Nam,https://salt.tikicdn.com/ts/product/34/45/97/55a64a59526bca4f1d8c475b7694c2c7.jpg
136539753,Tự Chữa Lành Thông Qua Hiểu Biết Về Khoa Học Tâm Thức,Dương Thị Quỳnh Châu,119000,99000,636,Lĩnh vực khác,79,5,280,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/3c/bb/e4/5ed80e2807ada1e781b33a95d2b8f146.jpg
46789749,Sa Môn Không Hải Thết Yến Bầy Quỷ Đại Đường Tập 1,Yumemakura Baku,130000,78000,1271,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,191,4.7,368,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/0a/8e/2d/e51b52cf8c8ed618ce8b55654fdc07ad.jpg
193684715,Ngoan Cường Vượt Định Kiến,Chimamanda Ngozi Adichie,79000,56900,175,Sách Tâm Lý Tuổi Teen,17,4.6,112,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/58/bf/45/a3b406c7313d54bb6190167c40f1545b.jpg
198198501,Ngang Tàng - Tập 2,Vu Triết,198000,124900,137,Truyện dài,27,5,488,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/03/29/e9/fea3565b552be581c13655baad3b1c6a.jpg
80142837,Hackers IELTS Basic- Listening,Hackers,229000,146000,900,Sách Học Tiếng Anh,248,5,448,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/0b/90/d5/5624e6e4070f762a670f78566e82f442.jpg
196831940,Thấu Hiểu Con Người,Nate Regier,185000,157000,102,Sách tư duy - Kỹ năng sống,6,4.7,276,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/48/d3/a0/742528e797d083103468cafb7646e417.jpg
41615620,Thám Tử Lừng Danh Conan Tập 11 (Tái Bản 2019),Gosho Aoyama,20000,19000,637,Thám Tử Lừng Danh Conan Tập 11 (Tái Bản 2019),65,5,180,,https://salt.tikicdn.com/ts/product/9b/52/2d/cb618671d0b94cf25600e54d97a15b60.jpg
12533371,Đạo Đức Kinh,Lão Tử,99000,65000,1427,Thơ,51,5,212,,https://salt.tikicdn.com/ts/product/2a/dd/46/9bc6c707f10d0244c4dc2030cf22866f.jpg
447164,Tôi Vẽ - Phương Pháp Tự Học Vẽ Truyện Tranh,Nhóm tác giả,100000,68000,5789,Tranh Truyện,946,4.8,296,,https://salt.tikicdn.com/media/catalog/product/b/i/bia_toi_ve-01.jpg
72742668,Sức Mạnh Của Văn Hóa Doanh Nghiệp,Chris Dyer,158000,150100,26,"Sách quản trị, lãnh đạo",3,3.7,400,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/12/56/be/229892460b8684441af7ab4b225d094b.jpg
36854641,Sự Thật Về Thế Giới : Mười Lý Do Khiến Ta Hiểu Sai Về Thế Giới - Và Vì Sao Thế Gian Này Tốt Hơn Ta Tưởng,Hans Rosling Ola Rosling,160000,114000,4376,Sách tư duy - Kỹ năng sống,560,4.8,454,,https://salt.tikicdn.com/ts/product/a1/d1/2f/6355c27aaea2007a6798cd5c6a820a2e.jpg
72512093,Bộ Sách Tự Xóa Thông Minh - Bé Vào Lớp 1 (5 -6 tuổi) (Tặng Kèm Bút Xóa),.,89000,56100,1090,Kiến thức - Bách khoa,209,4.7,26,Nhà Xuất Bản Mỹ Thuật,https://salt.tikicdn.com/ts/product/d9/48/42/53c68de26be485c3951966a60c0c40ef.jpg
73684906,Marketing Phải Bán Được Hàng,Donald Miller,159000,106000,1001,Sách Marketing - Bán hàng ,141,4.8,352,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/f0/32/a6/05d996439321e149dfaf3f406bb3a2ee.jpg
164990688,Bách Khoa Lịch Sử Thế Giới - Tái Bản 2022,nhieu tac gia,550000,422400,78,Lịch Sử Thế Giới,16,5,416,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/55/35/ca/fee2250e3baba463e2e6d3ca5219e66d.jpg
195624160,Thai Giáo Theo Chuyên Gia - 280 Ngày Mỗi Ngày Đọc 1 Trang,Trạch Quế Vinh,115000,80500,103,Sách Làm Cha Mẹ,2,5,256,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/a7/5f/1f/073aa4b6970b43ad102cab7b13e61ee1.jpg
11313176,Chàng Cắn Hồ Đào Và Vua Chuột,E.T.A Hoffmann,108000,92000,,Tiểu Thuyết,0,0,387,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/02/78/36/529461708b2c3a81e9005b99923ce3e1.jpg
189558675,"Sổ Tay Công Thức Giải Nhanh Vật Lý 12, Kiến Thức Trọng Tâm Vật Lý ôn thi THPT QG bản 2022",,98000,46000,108,Sách tham khảo cấp III,9,5,82,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/2c/24/2a/49a3ef557fc975cb9934a02e40964a92.jpg
178502501,Boxset "Thời Thơ Ấu Dài Lâu",Nguyễn Nhật Ánh,990000,688001,242,Văn học thiếu nhi,65,4.5,,NXB Trẻ,https://salt.tikicdn.com/ts/product/88/89/3d/0a9fd166ed3ffcc64e6623a87f8f36cb.jpg
197745260,Combo Sách Không Phải Sói Nhưng Cũng Đừng Là Cừu + Thao Túng Tâm Lý (Bộ 2 Cuốn),Lê Bảo Ngọc,227066,196020,50,Sách tư duy - Kỹ năng sống,2,5,,Nhiều Nhà Xuất Bản,https://salt.tikicdn.com/ts/product/0d/b5/1c/8d722e8a72d9f66ab38cf36ef20a9473.jpg
202429188,Hiệu Ứng Lucifer - Tập 1,Philip Zimbardo,239000,146000,52,Tiểu Thuyết,5,4.6,476,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/46/cb/a9/fa0bdcdbc87f9099d016b24d8ab1a88c.png
